Item;Loc;Item;Issue_Manuf;Issue_CMG;Local code;Item descr;DRPCovDur;MinDRPQty;IncDRPQty;ProdMinQty; ProdIncQty; ProdMaxQty;SSCov;Projection Columns;21.03.22 12;01.04.22 13;01.05.22 17;01.06.22 22;01.07.22 26;01.08.22 31;01.09.22 35;01.10.22 39;01.11.22 44;01.12.22 48;01.01.22 52;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;TotDmd;0;4,152;0;2,760;0;2,952;0;2,880;0;3,288;0;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;AdjAllocTotFcst;0;0;0;0;0;0;0;0;0;0;0;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;FcstCustOrders;0;0;0;0;0;0;0;0;0;0;0;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;NonFcstCustOrders;0;0;0;0;0;0;0;0;0;0;0;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;DepDmd;0;0;0;0;0;0;0;0;0;0;0;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;CONFSHIPOUT;0;0;0;0;0;0;0;0;0;0;0;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;ProxyDemand;0;0;0;0;0;0;0;0;0;0;0;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;PlanShip;0;4,152;0;2,760;0;2,952;0;2,880;0;3,288;0;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;RecShip;0;4,991;0;1,108;816;2,960;0;2,880;0;3,280;0;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;TotSupply;0;4,991;0;1,108;816;2,960;0;2,880;0;3,280;0;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;Inventory;0;2,783;0;0;0;0;0;0;0;0;0;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;ActualIntransIn;0;2,208;0;0;0;0;0;0;0;0;0;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;CommitIntransIn;0;0;0;1,108;0;0;0;0;0;0;0;
F0111201;627MF;F0111201;"&nbsp;";"&nbsp;"; ;BAVENCIO 200MG (20MG/ML) (1) - BRA;1D;16;16;"&nbsp;";"&nbsp;";"&nbsp;";;ProxySupply;0;0;0;0;0;0;0;0;0;0;0;
